MassGrown Map Export

LocationName,Address,City,State,Zip,Description,Website,Phone
"Watertown Farmers' Market","Saltonstall Park next to Town Hall, 149 Main Street","Watertown","MA","02472","Dates & Times: June 12 to October 23; Wednesday, 2:30 pm - 6:30 pm; Market closes as 6:00 pm in October; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.","www.watertownmarket.com","",
"Newton Farmers Market/Newton North High School","352 Lowell Ave. ","Newton","MA","02460","Dates & Time: June 22 to October 19; Saturday, 9:30 am - 12:30 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.","www.newtonma.gov/government/parks-recreation-culture/recreation-programs/farmers-market","",
"Somerville/Davis Square Farmers' Market","Day & Herbert St-Davis Square","Somerville","MA","02144","Dates & Time: May 22 to November 27; Wednesday, Noon - 6:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.

","www.massfarmersmarkets.org","",
"Somerville Mobile Market","25 Memorial Road","Somerville","MA","02145","Mystic Housing: Dates & Time: July 8 to October 28; Saturday, 10:00 am - 12:00 pm.
","www.somervillemobilefarmersmarket.wordpress.com/","() -",
"Red Fire Farm - CSA Pick-Up","297 Lowell Ave.","Newton","MA","02460","CSA Pick-up Location: St. John's Episcopal Church. CSA Pick-up Days: Thursday, Starting in June.","www.redfirefarm.com/CSA/join.html","413-467-7645",
"The Trustees Mobile Market","366 Rindge Avenue","Cambridge","MA","02140","Date and Time: Check website for current schedule. CSA only.  ","www.thetrustees.org/program/mobile-farmers-market/","",
"Sergi Farm","34 Glenn Road","Belmont","MA","02478","5-acre, family-run farm. Committed to growing the freshest and most diverse produce with sustainable methods, emphasizing disease resistant cultivars and a critical application of organic methods. ","www.belmontacresfarm.com/","(781) 507-6602",
"Somerville Mobile Market","167 Holland Street","Somerville","MA","02143","Dates & Time: July 7 to October 27; Friday, 10:30 am-12:30 pm.","www.somervillemobilefarmersmarket.wordpress.com/","() -",
"Farmer Tim's Vegetables","130 Concord Ave.","Belmont","MA","02478","Saturday & Sunday 2:00 pm - 7:00 pm 
Farmer Tim's currently has about 6.5 acres in mixed vegetable production.","www.farmertims.com/csa","(857) 334-3121",
"Quincy Kilroy Square Farmers' Market","25 Cottage Ave. ","QUINCY","MA","02169","Dates & Time: June 21 - October 25; Kilroy Square, Friday, 12:00 pm - 5:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP accepted with select vendors only. 
 ","","",
"Somerville Mobile Market","1366 Broadway","Somerville","MA","02144","Dates & Time: July 6 to October 26; Thursday, 4:00 pm - 6:00 pm.
","somervillemobilefarmersmarket.wordpress.com/","() -",
"Brookwood Community Farm","11 Blue Hill River Road","Canton","MA","02021","Farm uses organic methods on 5 acres of revitalized farm land, providing on-farm educational and community-building opportunities, and actively supporting food access projects. Check website for hours. Coupons are accepted Tuesdays & Thursdays 2 pm - 6:30 pm and Saturdays 9 am - 1 pm.  


","www.brookwoodcommunityfarm.org","(857) 345-5528",
"Belmont Farmers' Market","Cross St. & Channing Rd.-Belmont Center Municipal Parking Lot","Belmont","MA","02478","Dates & Times: June 6 to October 31; Thursday, 2:00 pm - 6:30 pm, Closes at 6:00 pm in October; WIC & Senior Coupons Accepted; EBT-SNAP Accepted. No market 7/4.

","www.belmontfarmersmarket.org","",
"Needham Farmers' Market","1471 Highland Ave.","Needham","MA","02492","Town Common; Dates & Time: June 16 to October 27; Sunday, 11:00 am - 3:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP accepted.","www.needhamfarmersmarket.org","",
"Gore Place","52 Gore Street","Waltham","MA","02453","It has 45 acres of gardens, lawns, fields and farmland with a small farm site with historic breeds of sheep and poultry. Visitors can view the animals and tour the mansion. Annual Sheepshearing Festival in April.","www.Goreplace.org","(781) 894-2798",
"Brookfield Farm - CSA Pick-Up","107 Grafton St.","Arlington","MA","02474","CSA Pick-up Days: Thursday, Starting in June. ","www.brookfieldfarm.org/csa/","413-253-7991",
"Capen Street Farm","75 Capen St.","Medford","MA","02153","Operate a diversified vegetable farm but everything grown is for the neighbors in Medford Hillside and West Somerville. Seek to enliven the neighborhood through fresh, nutrient-dense produce, festive weekly pickups, summer jobs for local teens and community-wide composting -- and chronicle all of this real-time on the website. 
","ploughandstarsproject.com","(617) 852-4109",
"Harlequin Stables","215 High Street","Westwood","MA","02090","Harlequin offers beginner to advanced riding lessons, balance seat, Hunter/Jumper, Dressage and summer camp.","www.horses.harlequinstables.com","(781) 407-0373",
"Everett Community Growers","548 Broadway ","Everett","MA","02149","Everett Community Growers (ECG) is a program of the Everett Community Health Partnership (ECHP), working to improve health outcomes and increase civic engagement among Everett residents through urban agriculture and other food justice initiatives.
Saturday 9 am- 12 pm, Wednesday Farm Pick-ups 3 pm- 6 pm.
FMNP Coupons accepted 2nd Wednesday of the month 4:30 pm - 6:30 pm.
Accept: P-EBT, SNAP/ HIP, Card, and Cash
","everettcommunitygrowers.org/","",
"Winthrop Farmers' Market","Ingleside Park ","Winthrop","MA","02152","Dates & Time: June 11 to October 1; Every other Sunday, 9:00 am - 1:00 pm.","www.winthropfarmersmarket.com","",
"The Trustees Mobile Market","200 Waldemar Avenue","Boston","MA","02128","Date and Time: Check website for current schedule. CSA only.  ","www.thetrustees.org/program/mobile-farmers-market/","",
"World Peas CSA Pick-Up","Condon Shell","Medford","MA","02153","CSA Pick-up Location: Condon Shell, Mystic Valley Parkway. ","www.nesfp.org/NewEntryCSA","",
"Volante Farms","292 Forest Street","Needham","MA","02492","April-May Greenhouses and Garden Center
June-October Produce, Farm Stand and Greenhouses
Thanksgiving-Christmas Christmas trees, Wreaths, Poinsettias","www.Volantefarms.com","(781) 444-2351",
"Pakeen Farm","109 Elm St.","Canton","MA","02021","Multi-farm vegetable and fruit CSA. In fall, pumpkins, cider, apples and doughnuts, and in the winter, offer choose & cut Christmas trees, freshly cut Christmas trees and holiday decorations.

CSA Products offered: Vegetables
Pickup(s): On Farm ","www.pakeenfarm.com","(781) 828-0111",
"Medford Farmers' Market","2501 Mystic Valley Parkway-Condon Shell","Medford","MA","02155","Dates & Time: June 6 to October 17; Thursday, 3:00 pm - 7:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted. No market 7/4.

","www.medfordfarmersmarket.org","",
"Waltham Fields Community Farm","240 Beaver Street","Waltham","MA","02451","Open June - October, Waltham Fields Community Farm (WFCF) is a nonprofit agricultural organization that sustainably stewards agricultural land, providing its harvests and educational programming to local and Greater Boston communities. WFCF%u2019s agricultural operations include a Community Supported Agriculture (CSA) program, Barn Store, and education and volunteering programs. 

Subsidized CSA shares are available. For details, go to https://communityfarms.org/csa/csa-overview.

Barn Store hours: Wednesday - Friday 2:30 pm - 6:30 pm, Saturday 9:00 am - 2:30 pm.  

","www.communityfarms.org","(781) 899-2403",
"Arlington Farmers' Market","Massachusetts Ave & Pleasant St-Russell Common Parking Lot","Arlington","MA","02474","Dates & Time: June 12 to October 30; Wednesday, 2:00 pm - 6:30 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted with select vendors only. 

","www.farmersmarketarlington.org","",
"Farmer Dave's - CSA Pick-Up","195 Canal St","Malden","MA","02148","CSA Pick-up Days: Wednesday, Starting in June.","farmerdaves.csaware.com/store/","978-349-1952",
"Snug Harbor Farmstand","O'Brien Towers, 73 Bicknell Street","QUINCY","MA","02169","Dates and Time: Wednesday, 1:00 pm - 6:00 pm, July to Fall.","","",
"The Bean Family Farm ","711 Clapboardtree Street ","Westwood","MA","02090","Premier source for farm fresh produce, meat, pumpkin, and Christmas products. Stand open June through Christmas selling all of our farms products as well as other locally sourced agricultural products for both retail as well as wholesale. Large autumn display with beautiful pumpkins, squashes, and apples among other fall items. Sell fresh cut Christmas trees of all sizes, wreaths and many other holiday decorations. ","www.beanfarmfresh.com/","(781) 223-3604",
"Waltham Farmers Market","65 Lexington Street","Waltham","MA","02453","Dates & Time: June 1 to October 26; Saturday, 9:30 am - 2:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.



 ","www.walthamfarmersmarket.org","",
"Belmont Bee Company","19 Greensboro Way","Belmont","MA","02478","At the Belmont Bee Company, our focus is on the watchful care of our bees as they work busily to produce one of the most amazing, all-natural, and delicious products on earth.","www.belmontbeecompany.com","(201) 213-9788",
"Braintree Farmers' Market","1 John F Kennedy Memorial Dr.-Town Hall Mall","Braintree","MA","02184","Dates & Time: June 15 to October 12; Saturday, 9:00 am - 1:00 pm; WIC & Senior Coupons Accepted; 
Holiday Market: 11/23.","www.braintreefarmersmarket.org","",
"Westwood Farmers' Market","845 High Street","Westwood","MA","02090","Dates & Time: June 7 to October 4; Wednesday, 2:00 pm - 6:00 pm; EBT-SNAP Accepted with select vendors only.","","",
"Farmer Dave's - CSA Pick-Up","60 Lowell Street","Arlington","MA","02474","CSA Pick-up Days: Friday, 2:00 pm - 6:00 pm.","farmerdaves.csaware.com/store/","978-349-1952",
"Revere Farmers Market","Revere Beach WaterFront Square at Beachside  ","Revere","MA","02151","Dates & Time: July 26 to September 27; Friday, 12:00 pm - 4:00 pm: WIC & Senior Coupons Accepted; EBT-SNAP Accepted. 

","www.revere.org/departments/public-health-division/healthy-living/revere-farmers-market  ","",
"Brookfield Farm - CSA Pick-Up","70 Hancock Street","Bedford","MA","01730","CSA Pick-up Days: Thursday, Starting in June. ","www.brookfieldfarm.org/csa/","413-253-7991",
"Norwood Farmers' Market","Nahatan and Washington Streets-Town Common","Norwood","MA","02062","Dates & Times: June 18 to October 15; Tuesday, 2:00 pm - 6:00pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.","","",
"Capeway Florists","249 North Street","Weymouth","MA","02191","","","781 337-1470",
"Randolph Farmers' Market","592 North Main Street-","Randolph","MA","02368","Dates & Times: Third Sunday, 10:00 am - 2:00 pm; May 21 to September 17; WIC & Senior Coupons Accepted.","www.facebook.com/people/Main-Street-Farmers-Market/100064057992110/","",
"Weymouth Farmers' Market","46 Broad Street","Weymouth","MA","02190","Tufts Library, Weston Park; Dates & Time: 6/12, 6/26, 7/10, 7/24, 8/7, 8/21, 9/4, 9/18, 10/2 ; Every other Wednesday, 4:00 pm - 7:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted. Special events: Sunday July 28, Artisan Fair, 10am-2pm; Sunday August 11, Kids Day, 10am-2pm.
","www.weymouthfarmersmarket.com/","",
"Lexington Community Farm","52 Lowell Street","Lexington","MA","02420","Community-based farm where area residents come to learn about and enjoy food, farming, and nature. Offer hands-on education programs for children and adults, volunteer hours, recreation programs, Farm Stand, CSA, and flower shares.

CSA Product offered: Vegetables, Flowers.
Pickup(s): On Farm

","www.lexfarm.org","781-862-7247",
"Lexington Community Farm CSA","52 Lowell Street","Lexington","MA","02420","Community-based farm where area residents come to learn about and enjoy food, farming, and nature. Offer hands-on education programs for children and adults, volunteer hours, recreation programs, CSA, and flower shares.

CSA Product offered: Vegetables, Flowers.
Pickup(s): On Farm

","www.lexfarm.org","781-862-7247",
"Wilson Farm","10 Pleasant Street","Lexington","MA","02421","125 year old farm, open year-round, and is multiple %u201CBest of Boston%u201D winner (now a %u201CClassic%u201D recipient). At the farm, you will find impeccable, locally grown produce, house baked bread and sweets, freshly prepared take home meals, their own hen house eggs, top quality meats, dairy and cheeses from New England, beautiful cut flowers, and a huge selection of lush garden and indoor plants. The CSA program offers three types: produce, fresh cut flower, and fresh fish shares. Details at WilsonFarmCSA.com

CSA Products Offered: Produce, Flowers, Fish
Pickup(s): On Farm","WilsonFarm.com","(781) 862-3900",
"Wright-Locke Farm","78-82 Ridge Street","Winchester","MA","01890","A historic certified organic farm retailing via a contactless online sales platform, farmers markets, and a CSA (veg, flowers, & herbs) with a PYO raspberry and flower operation and farm stand when raspberries are in season operating on the traditional territory of the Massa-adchu-es-et and Pawtucket peoples. Offer educational classes for kids and adults and tours for school groups. An entrance point to 130 acres of trails in adjacent conservation land. Monthly events welcoming the community.","www.wlfarm.org","(781) 729-8775",
"Lexington Winter Farmers' Market","739 Massachusetts Ave.-Waldorf School of Lexington (Back entrance)","Lexington","MA","02420","Dates & Times: 1/6, 1/20, 2/3, 2/17, 3/2, 3/16, 3/30, 4/13; Saturday, 11:00 am - 2:00 pm; ; EBT-SNAP Accepted.","www.lexingtonfarmersmarket.org","",
"Powisset Farm","37 Powisset Street","Dover","MA","02030","Powisset Farm is a property of the Trustees of Reservations. Our farm began in 2007. We operate a 250-person CSA, do a small amount of restaurant sales, as well as weekly donations to local food pantries. We also have volunteer opportunities, educational workshops for children and adults, school tours, cooking classes, walks and hikes, farm dinners, 4H programs for kids and opportunities to volunteer.

CSA Products offered: Vegetables, Fruit, Flowers
Pickup(s): On Farm, Tuesday, 2:00 pm - 6:00 pm; Thursday, 10:00 am - 6:00 pm; Saturday, 10:00 am - 4:00 pm
June to December","www.thetrustees.org/program/powisset-farm-stand","(505) 785-0339",
"Wagon Wheel Farm Stand","927 Waltham Street","Lexington","MA","02421","Farmstand, deli, garden center, much and lawn loam deliveries (local), and landscaping","www.wagonwheelfarmstand.com","(781) 862-2112",
"Winchester Farmers' Market","Town Common, Laraway Road and Church Street","Winchester","MA","01890","Dates & Time: June 8 to October 26; Saturday, 9:30 am - 1:30 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted. 

","www.winchesterfarmersmarket.org","",
"Canton Farmers Market","Rodman Building/Canton High School, 960 Washington Street","Canton","MA","02021","Date and Time: June 16 to October 20; Sunday, 10:00 am - 2:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.","www.cantonfarmersmarket.org","",
"Little Brook Farm and Garden Farmstand/YMCA","497 Main Street","Melrose","MA","02176","Open Saturday, 8:00 am - 1:00 pm, May to October 20","","(781) 231-9663",
"Land's Sake Farm","90 Wellesley St","Weston","MA","02493","Public farm (used to be part of Arnold Arboretum), host educational programming for all ages, maintain the town forest for recreational and production uses, and care for both public conservation and private land. Picnic tables available. Pick your own flowers only. Open June-October, Tues-Fri 11am to 7pm, Sat and Sun 11am-4pm, closed Mondays.

CSA Products offered: Vegetables, Flowers, occasionally honey
Pickup(s): On Farm","www.landssake.org","(781) 893-1162",
"Meadow Mist Farm","12 Bacon Street ","Lexington","MA","02420","Integrated small farm that raises and sells grass fed beef, lamb, pastured chicken and turkey, cage-free fresh eggs, and seasonal garden vegetables and berries. ","www.meadow-mist.com","(781) 354-5037",
"Mahoney's Garden Center","242 Cambridge Street","Winchester","MA","01890","Committed to locally grown annuals and perennials. Many of the plants are grown locally each season at our growing facility in Woburn. Grow only the best, hardiest varieties and plant them in extra deep pots that promote bigger, healthier root systems. Growing local reduces fuel emissions needed to truck plants in from far away and keeps jobs local.","www.mahoneysgarden.com","(781) 729-5900",
"Springdale Flower Farm","50 Springdale Avenue","Dover","MA","02030","Orfer local flowers through CSA subscriptions and custom orders, as well as by the bucket for folks who would like to arrange their own flowers for events (ie weddings, baby showers, celebrations). Our flowers are grown using sustainable and organic practices. Our hope is that our flowers will bring joy and happiness to others, while simultaneously providing a home for pollinators.","www.springdaleflowerfarm.com/","(858) 774-0957",
"Melrose Farmers' Market","West Emerson Street and Cedar Park-Bowden Park","Melrose","MA","02176","Dates & Time: June 6 to October 31; Thursday, 1:00 pm - 6:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted. No market 7/4.
","www.melrosefarmersmarket.org","",
"Cochato Nursery ","373 N.Franklin Street","Holbrook","MA","02343","Unique nursery offering quality plants to discriminating gardeners.","www.cochatonursery.com","",
"Huberman's Greenhouses","111 Vine Street","Saugus","MA","01906","Four generations of the Huberman family have been selling annuals, perennials, vegetable plants, hanging baskets, potted plants and bedding plants. Both wholesale and retail.","www.hubermansgreenhouses.com","(781) 233-4682",
"Little Brook Farm and Garden","190 Lincoln Ave.","Saugus","MA","01906","Daily 9:00 am - 6:00 pm. Flower arrangements, Memorial services, Weddings services, Plant arrangements, Water fountains, Bird baths, Flower basket hangers, Spring garden plants, Holiday decorations. Also greens and tomatoes.","www.facebook.com/pages/category/Garden-Center/Little-Brook-Farm-Garden-813090225436183/","(781) 231-9663",
"Weiss Farms","170 Franklin Street","Stoneham","MA","02180","Family owned farm since 1928. Presently wholesale and retail loam, mulch and organic composting. Christmas trees planted 3-4 years ago-immature.","www.weissfarm.com","(781) 438-0689",
"Holbrook Farmers' Market","231 Union St.-Union Street Lanes","Holbrook","MA","02343","Dates & Time: June 17 to Mid October; Saturday, 10:00 am - 2:00 pm; WIC & Senior Coupons Accepted. ","www.facebook.com/HolbrookFarmersMarket","",
"Lexington Farmers Market","Worthen Road Practice Fields","Lexington","MA","02420","Dates & Times: May 28 to October 29; Tuesday, 2:00 pm - 6:30 pm; Closes at 6:00 pm in October); WIC & Senior Coupons Accepted; EBT-SNAP Accepted. 



","www.lexingtonfarmersmarket.org","",
"Natick Community Organic Farm","117 Eliot Street Route 16","Natick","MA","01760","Non-profit, diversified, certified-organic farm raising mesclun, seedlings, maple syrup, produce, cut flowers. eggs, livestock/meat, and woolen yarn. No admission fee. Self-guided tours. Picnic area. Youth programs, teen employment, and volunteer opportunities. Maple Magic (March), Spring Spectacular (May) and Harvest Dinner (September). ","www.natickfarm.org","(508) 655-2204",
"Stoneham Farmers' Market","Main Street-Town Common","Stoneham","MA","02180","Dates & Time: June 6 to to September 26; Thursday, 2:30 pm - 6:30 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.

","www.stonehamfarmersmarket.com","",
"Weymouth Winter Market","1 Wildcat Way","SOUTH WEYMOUTH","MA","02190","Weymouth High School Cafeteria; Date and Time: Sunday, 10:00 am-1:00 pm; 11/19, 12/17, 1/28, 2/25, 3/24, 4/14; EBT-SNAP Accepted. January to April Markets will be held at Weymouth Chapman Middle School, 1051 Commercial St. ","www.weymouthfarmersmarket.com","",
"Hingham Farmers' Market","95 Station Street","Hingham","MA","02043","Dates & Times: May 4 to November 23; Saturday, 9:00 am - 1:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.

","www.hinghamfarmersmarket.org","",
"Lovell Landscape Service, Inc.","160 Main Street","Medfield","MA","02052","","","508 359-4191",
"Heimlich Nurseries","71 Burlington Street","Woburn","MA","01801","","www.heimlichs.com","(781) 933-9815",
"Good Roots Farm","153 Lexington Road","Lincoln","MA","01773","USDA certified organic farm who grows a range of vegetables and herbs on three acres, using techniques that protect the soil and surrounding environment. Brian Turnbaugh, the farmer, has been running Good Roots Farm since 2013.
","www.goodrootsfarm.net","(202) 378-6003",
"Top Sun Farm","65 Hillwood Ave","Stoughton","MA","02072","Small apiary selling local honey and other bee products. Also produce our own maple syrup harvested from western MA. Call ahead or order online.","www.topsunfarm.com","(617) 515-1942",
"Stonegate Gardens","339 S. Great Road","Lincoln","MA","01773","","stonegategardens.com/","(781) 259-8884",
"Natick Winter Farmers' Market","13 Common Street","Natick","MA","01760","Dates & Times: Common Street Spiritual Center, November 4 to April 27; Saturday, 9:00 am - 1:00 pm; EBT-SNAP Accepted with select vendors only.","www.natickfarmersmarket.org","",
"Natick Farmers' Market","Natick Common","Natick","MA","01760","Dates & Time: May 4 to October 26; Saturday, 9:00 am - 1:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted with select vendors only.
","www.natickfarmersmarket.org","",
"Crescent Ridge Dairy","355 Bay Road","Sharon","MA","02067","Since 1932, the family-owned and operated farm has been dedicated to delivering the freshest, tastiest products. Own bottled milk sold at farm store and through home delivery. Nationally and internationally recognized ice cream available at the farm dairy bar and the Boston public market.","www.crescentridge.com","(781) 784-2740",
"The Neighborhood Farm","Corner of Old Connecticut Path and Forest Hill Rd ","Wayland","MA","01778","All natural vegetables, herbs, cut flowers and plants grown at historic Mainstone Farm in Wayland. Stand offers Mainstone's raised grass fed beef, eggs, chicken and pork along w/produce.

Farm stand available online only.

","www.theneighborhoodfarm.com/","(339) 225-025",
"Lookout Farm","89 Pleasant Street","Natick","MA","01760","Belkin Family Lookout Farm is one of the oldest continuously working farms in the U.S. PYO strawberries, peaches, nectarines, plums, apples and pumpkins. Families also enjoy train rides, children's play area, picnic tables, hay pyramid, burlap maze and Busy Bee Learning Center. Book a Birthday Party, School or Camp Field Trip, Group Outing or Corporate Event with us! Call U-pick hotline to find out hours and produce available. 508-653-0653","www.Lookoutfarm.com","(508) 651-1539",
"Yards of Pleasure, Inc.","720 South Franklin Street","Holbrook","MA","02343","","www.yardsofpleasure.com/gardencenter.html","(781) 767-4242",
"McGuire's Mushrooms","18 Turkey Hill Lane","Hingham","MA","02018","Family operated, local farm w/full-service gourmet and medicinal mushroom farm serving local chefs, individuals and farmers markets. Offer cultivation supplies such as grain spawn, liquid cultures and mushroom grow kits. For all orders and inquiries call Kevin McGuire, or email mcguiresmushrooms@gmail.com.  ","mcguiresmushrooms.com","(781) 664-4248",
"Medfield Farmers Market","26 North Street","Medfield","MA","02052","Montrose School; Dates & Times: May 19 to October; Sunday, 9:00 am - 1:00 pm; WIC & Senior Coupons Accepted.","www.medfieldcommunitymarket.com","",
"The Food Project - CSA Pick-Up","120 Munroe St.","Lynn","MA","01901","CSA Pick-up Location: The Food Project Office. CSA Pick-up Days: Tuesday, Starting in June.","csa.thefoodproject.org/csa-farm-shares/","617-442-1322",
"Lynn Farmers' Market","North and South Common St. ","Lynn","MA","01901","Lynn Commons Park; Dates & Time: July 11 to November 21; Thursday, 11:00 am - 4:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.","www.lynngrows.org/markets-in-lynn","",
"Drumlin Farm Stand / Mass Audubon","208 South Great Road","Lincoln","MA","01773","Farm store and wildlife sanctuary with walking trails to explore the fields, forest, and wetlands. CSA and "flex-shares" are available. Coupons accepted Saturday & Sunday from 10:00 am - 4:00 pm. ","drumlinfarmstand.org/","781-259-2200",
"Lincoln Arts and Farmers Farmers Market","145 Lincoln Road","Lincoln","MA","01773","Date and Time: Saturday, 9:00 am - 1:00 pm, June to September. ","www.matlockfarm.org","",
"Walpole Farmers' Market","East Street, Downtown","Walpole","MA","02081","Spring Brook Park; Dates & Time: June 8 to October 19; Saturday, 9:00 am - 1:00 pm; WIC & Senior Coupons Accepted. ","www.facebook.com/walpolefarmersmarketma","",
"The Food Project","10 Lewis Street","Lincoln","MA","01773","Non-profit organization that does youth development work with 14-16 year olds from Boston and the surrounding suburbs. We work with hundreds of volunteers throughout the year. We are located near Walden Pond, Minute Man National Historic Park, and Codman Community Farm.

CSA Products offered: Vegetables, Fruit, Flowers
Pickup(s): Farmers Markets","www.thefoodproject.org","(781) 259-8621",
"Wild Robbins Farm","42 Everett Street","Sherborn","MA","01770","Small family-run farm selling farm-raised pork, chicken, turkey, lamb, and eggs.","Wildrobbinsfarm.com ","(617) 417-1260",
"Lynn Winter Farmers Market","8 Silsbee Street","Lynn","MA","01901","Dates and Time: 12/9, 1/13, 1/27, 2/10, 2/24, 3/9, 3/23, 4/13, 4/27, 5/11, 5/25, 6/8, 6/22; Saturday, 11:00 am - 3:00 pm; From April to June, the market will be located at 20 Exchange Street.

","www.thefoodproject.org/farmers-markets/","(617) 326-3755",
"Drumlin Farm Wildlife Sanctuary","208 South Great Road","Lincoln","MA","01773","At Mass Audubon%u2019s Drumlin Farm Wildlife Sanctuary, you can experience life on a working farm and explore a wildlife sanctuary at the same time. With pigs, sheep, goats, chickens, cows, a CSA program and 206 acres of wildlife sanctuary to explore, there%u2019s something for everyone to enjoy.

CSA Product offered: Vegetables, Eggs, Meats, Fruits.
CSA starts in Mid-May - Pick-up at the farm: Wednesdays noon-6:00
Accepting coupons Saturdays & Sundays 10 am - 4 pm.

","www.Massaudubon.org/drumlinfarm","(781) 259-2200",
"Weir River Farm","140 Turkey Hill Lane","Hingham","MA","02018","Small diversified farm on the South Shore. Farm property of The Trustees of Reservations, offers self-guided hiking trails, visiting and volunteer opportunities, educational programs, vegetable CSA, and retail meat and egg sales.

CSA Products offered: Vegetables
Pickup(s): On Farm","thetrustees.org/program/weir-river-farm-market/","(781) 740-7233",
"Mass Audubon The Farm at Moose Hill","4 Moose Hill St                                                                         ","Sharon","MA","02067","100 member vegetable and fruit CSA; free range eggs; farm stand; walking trails with views of the Boston skyline.

CSA Products offered: Vegetables
Pickup(s): On Farm","www.massaudubon.org/get-outdoors/wildlife-sanctuaries/moose-hill/the-farm-at-moose-hill","(508) 981-6025",
"Codman Community Farms","58 Codman Road","Lincoln","MA","01773","Community farm committed to using sustainable farming methods. 100% grass-fed, which includes any lambs or goats we raise and our closed herd of Red Devon Cattle. Raise/grow cows, pigs, lambs, laying hens, meat chickens, turkeys, hay, and a growing amount of produce, flowers, and fruit. Open year-round, 9-6 pm, daily. Coupons accepted on Wednesdays from 1 pm - 3:30 pm. Seasonally, the barnyard and nearby fields host a variety of poultry, pigs, lambs, cows, and gardens for exploration.","www.codmanfarm.org","(781) 259-0456",
"Calareso's Farmstand and Garden Center","122 Main St.","Reading","MA","01867","Year round farm stand garden center with bakery.","calaresosfarmstand.com/","(781) 944-6010",
"Wakefield Farmers' Market","468 North Ave.","Wakefield","MA","01880","Hall Park; Dates & Time: June 15 to October 26; Saturday, 9:00 am - 1:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted. ","www.wakefieldfarmersmarket.org","",
"Hingham Winter Farmers' Market","204 Union Street ","Hingham","MA","02043","Wompatuck State Park Visitor Center; Dates & Times: January 6 to March 30; Saturday, 10:00 am - 1:00pm; EBT-SNAP Accepted. ","www.hinghamfarmersmarket.org","",
"Nessralla's Landscape and Irrigation Services","719 West Main Street","Avon","MA","02322","Grow and sell annual flats and hanging baskets, along with large variety of perennials. Sell shrubs, trees, mulch, and loam.","nessrallainc.com/index.html","(508) 587-4229",
"The Farm at Moose Hill","4 Moose Hill Street","Sharon","MA","02067","Partnered with Ward%u2019s Berry Farm for over 15 years to offer organic vegetables to our surrounding communities.

CSA Products offered: Vegetables
Pickup(s): On Farm","www.massaudubon.org/get-outdoors/wildlife-sanctuaries/moose-hill/the-farm-at-moose-hill","(781) 784-5691",
"Dowse Orchards","98 North Main Street","Sherborn","MA","01770","200 year old family farm operation, all natural cider, cider press viewing, 25 varieties of apples, fruit stand, PYO apples, pumpkins of every shape & size. Christmas trees, greenhouses.","www.Dowseorchards.com","(508) 653-2639",
"Weston Nurseries of Hingham","1099 Main St.","Hingham","MA","02018","Formerly Lambert%u2019s Garden Center, Weston%u2019s Hingham Garden Center offers a full selection of lawn and garden products, decorative gifts, and indoor plants, a full selection of high quality trees, shrubs, perennials and edible plants. Offer homeowners and trade professionals the same outstanding plants, personalized service, landscape design, mulch and soils, and the best horticultural advice that our Hopkinton customers have relied on since 1923. ","www.westonnurseries.com/garden-centers-hingham/","(781) 749-3773",
"Wayland Winter Farmers' Market","397 Boston Post Road-Russell's Garden Center","Wayland","MA","01778","Dates & Times: January 6 to March 9; Saturday, 10:30 am - 2:00 pm. EBT-SNAP Accepted. 
","www.russellsgc.com/farmersmarket ","",
"Iron Horse Farm","29 Coolidge Street","Sherborn","MA","01770","Iron Horse Farm ~ A little bit of "country" to raise angora rabbits, 3 breeds of sheep, llamas and angora goats in Sherborn, Massachusetts. Visit the Iron Horse Farm Artisans' Gift Store- products from our animals and more. 
","www.ironhorsefarm.org","(508) 653-3433",
"Russell's Garden Center","397 Boston Post Road","Wayland","MA","01778","Family owned business for more than 145 years - Growing since 1876! Host the Wayland Farmers' Market.","www.russellsgardencenter.com","(508) 358-2283",
"Wayland Farmers' Market","397 Boston Post Rd-Russell's Garden Center Rt. 20","Wayland","MA","01778","Dates & Times: June 26 to October 9; Wednesday, Noon - 4:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.

","www.russellsgardencenter.com/html/farmersMarket.html","",
"Spence Hill Farm","39 Coolidge Street","Sherborn","MA","01770","","","(508) 653-8939",
